date,rate
2010-08-05,1.016600
2010-08-06,1.027900
2010-08-09,1.026700
2010-08-10,1.032300
2010-08-11,1.045300
2010-08-12,1.042800
2010-08-13,1.041500
2010-08-16,1.044600
2010-08-17,1.032900
2010-08-18,1.028700
2010-08-19,1.039200
2010-08-20,1.048800
2010-08-23,1.052300
2010-08-24,1.060300
2010-08-25,1.060800
2010-08-26,1.056700
2010-08-27,1.052400
2010-08-30,1.060500
2010-08-31,1.066500
2010-09-01,1.052000
2010-09-02,1.053500
2010-09-03,1.039300
2010-09-07,1.048000
2010-09-08,1.037400
2010-09-09,1.033700
2010-09-10,1.035100
2010-09-13,1.027300
2010-09-14,1.027700
2010-09-15,1.026400
2010-09-16,1.026600
2010-09-17,1.031400
2010-09-20,1.029300
2010-09-21,1.026800
2010-09-22,1.029800
2010-09-23,1.034000
2010-09-24,1.025600
2010-09-27,1.028300
2010-09-28,1.030200
2010-09-29,1.034000
2010-09-30,1.029000
2010-10-01,1.020500
2010-10-04,1.022000
2010-10-05,1.017300
2010-10-06,1.010700
2010-10-07,1.018500
2010-10-08,1.011300
2010-10-12,1.010600
2010-10-13,1.004800
2010-10-14,1.006000
2010-10-15,1.011800
2010-10-18,1.014100
2010-10-19,1.031900
2010-10-20,1.022200
2010-10-21,1.026300
2010-10-22,1.026900
2010-10-25,1.020300
2010-10-26,1.024200
2010-10-27,1.028700
2010-10-28,1.021500
2010-10-29,1.020200
2010-11-01,1.016100
2010-11-02,1.009500
2010-11-03,1.006800
2010-11-04,1.002400
2010-11-05,1.000400
2010-11-08,1.003700
2010-11-09,1.007400
2010-11-10,1.000000
2010-11-12,1.009100
2010-11-15,1.008900
2010-11-16,1.022200
2010-11-17,1.024300
2010-11-18,1.021500
2010-11-19,1.018000
2010-11-22,1.017500
2010-11-23,1.023100
2010-11-24,1.011100
2010-11-25,1.009700
2010-11-26,1.020000
2010-11-29,1.018600
2010-11-30,1.026600
2010-12-01,1.017000
2010-12-02,1.003900
2010-12-03,1.003300
2010-12-06,1.005300
2010-12-07,1.011400
2010-12-08,1.010800
2010-12-09,1.010500
2010-12-10,1.009400
2010-12-13,1.007700
2010-12-14,1.006500
2010-12-15,1.004000
2010-12-16,1.005900
2010-12-17,1.012800
2010-12-20,1.016400
2010-12-21,1.017500
2010-12-22,1.014200
2010-12-23,1.008900
2010-12-24,1.006400
2010-12-29,1.000600
2010-12-30,1.000000
2010-12-31,0.994600
2011-01-04,0.998500
2011-01-05,0.996400
2011-01-06,0.996900
2011-01-07,0.991800
2011-01-10,0.993200
2011-01-11,0.989700
2011-01-12,0.986900
2011-01-13,0.989200
2011-01-14,0.989400
2011-01-17,0.987200
2011-01-18,0.992900
2011-01-19,0.995500
2011-01-20,0.997100
2011-01-21,0.995400
2011-01-24,0.994600
2011-01-25,0.997600
2011-01-26,0.995300
2011-01-27,0.993200
